"dataset","bottleneck","blockForm","nblocks","learningrate","testAccuracy","valAccuracy","nhidden"
"oocytes_merluccius_nucleus_4d",0.25,"diavolo",8,1,0.329411774873734,0.28205132484436,512
"oocytes_merluccius_nucleus_4d",0.5,"rect",8,1,0.329411774873734,0.28205132484436,512
"oocytes_merluccius_nucleus_4d",0.5,"diavolo",8,1,0.329411774873734,0.28205132484436,512
"oocytes_merluccius_nucleus_4d",0.25,"rect",8,1,0.329411774873734,0.28205132484436,256
"oocytes_merluccius_nucleus_4d",0.25,"diavolo",8,1,0.329411774873734,0.28205132484436,256
"oocytes_merluccius_nucleus_4d",0.5,"rect",8,1,0.329411774873734,0.28205132484436,256
"oocytes_merluccius_nucleus_4d",0.5,"diavolo",8,1,0.329411774873734,0.28205132484436,256
"oocytes_merluccius_nucleus_4d",0.5,"rect",4,1,0.329411774873734,0.28205132484436,1024
"oocytes_merluccius_nucleus_4d",0.5,"diavolo",4,1,0.329411774873734,0.28205132484436,512
"oocytes_merluccius_nucleus_4d",0.25,"diavolo",4,1,0.329411774873734,0.28205132484436,256
"oocytes_merluccius_nucleus_4d",0.5,"rect",4,1,0.329411774873734,0.28205132484436,256
"oocytes_merluccius_nucleus_4d",0.25,"rect",2,1,0.329411774873734,0.28205132484436,1024
"oocytes_merluccius_nucleus_4d",0.25,"rect",2,1,0.329411774873734,0.28205132484436,512
