"dataset","nhidden","testAccuracy","valAccuracy","learningrate","nblocks","blockForm","bottleneck"
"car",1024,0.0370370373129845,0.037234041839838,1,4,"rect",0.5
"car",1024,0.0370370373129845,0.037234041839838,1,4,"diavolo",0.25
"car",1024,0.0370370373129845,0.037234041839838,1,4,"diavolo",0.5
"car",512,0.0370370373129845,0.037234041839838,1,4,"rect",0.25
"car",512,0.0370370373129845,0.037234041839838,1,4,"rect",0.5
"car",512,0.0370370373129845,0.037234041839838,1,4,"diavolo",0.5
"car",256,0.0370370373129845,0.037234041839838,1,4,"rect",0.5
"car",256,0.0370370373129845,0.037234041839838,1,4,"diavolo",0.25
"car",256,0.0370370373129845,0.037234041839838,1,4,"diavolo",0.5
"car",512,0.0370370373129845,0.037234041839838,1,3,"diavolo",0.5
